;susceptible;incubated;infected;vaccinated;removed;deceased;day
0;1943.0;17.0;10.0;30.0;0.0;0.0;0.0
1;1901.0;29.0;10.0;60.0;0.0;0.0;1.0
2;1859.0;41.0;10.0;90.0;0.0;0.0;2.0
3;1812.0;58.0;10.0;120.0;0.0;0.0;3.0
4;1775.0;65.0;10.0;150.0;0.0;0.0;4.0
5;1737.0;73.0;10.0;180.0;0.0;0.0;5.0
6;1704.0;76.0;10.0;210.0;0.0;0.0;6.0
7;1673.0;76.0;11.0;240.0;0.0;0.0;7.0
8;1640.0;76.0;14.0;270.0;0.0;0.0;8.0
9;1602.0;79.0;18.0;300.0;0.0;1.0;9.0
10;1563.0;81.0;23.0;300.0;30.0;3.0;10.0
11;1520.0;86.0;28.0;300.0;60.0;6.0;11.0
12;1474.0;93.0;35.0;300.0;90.0;8.0;12.0
13;1409.0;118.0;43.0;300.0;120.0;10.0;13.0
14;1356.0;136.0;48.0;300.0;150.0;10.0;14.0
15;1295.0;161.0;54.0;300.0;180.0;10.0;15.0
16;1233.0;186.0;61.0;300.0;210.0;10.0;16.0
17;1176.0;211.0;63.0;300.0;240.0;10.0;17.0
18;1121.0;228.0;67.0;300.0;271.0;13.0;18.0
19;1069.0;245.0;71.0;300.0;302.0;13.0;19.0
20;1005.0;269.0;79.0;300.0;333.0;14.0;20.0
21;953.0;280.0;82.0;300.0;364.0;21.0;21.0
22;897.0;293.0;90.0;300.0;396.0;24.0;22.0
23;842.0;304.0;95.0;300.0;428.0;31.0;23.0
24;775.0;314.0;113.0;300.0;460.0;38.0;24.0
25;705.0;333.0;130.0;300.0;491.0;41.0;25.0
26;640.0;339.0;152.0;300.0;522.0;47.0;26.0
27;567.0;356.0;173.0;300.0;554.0;50.0;27.0
28;496.0;378.0;184.0;300.0;584.0;58.0;28.0
29;412.0;410.0;201.0;300.0;614.0;63.0;29.0
30;343.0;423.0;217.0;300.0;644.0;73.0;30.0
31;288.0;428.0;230.0;300.0;675.0;79.0;31.0
32;236.0;426.0;244.0;300.0;706.0;88.0;32.0
33;188.0;404.0;271.0;300.0;736.0;101.0;33.0
34;133.0;399.0;285.0;300.0;769.0;114.0;34.0
35;89.0;378.0;299.0;300.0;803.0;131.0;35.0
36;51.0;347.0;317.0;300.0;838.0;147.0;36.0
37;19.0;304.0;337.0;300.0;872.0;168.0;37.0
38;0.0;273.0;345.0;286.0;906.0;190.0;38.0
39;0.0;245.0;350.0;256.0;939.0;210.0;39.0
40;0.0;205.0;370.0;226.0;969.0;230.0;40.0
41;0.0;184.0;376.0;196.0;1000.0;244.0;41.0
42;0.0;154.0;382.0;166.0;1033.0;265.0;42.0
43;0.0;127.0;376.0;136.0;1070.0;291.0;43.0
44;0.0;98.0;370.0;106.0;1104.0;322.0;44.0
45;0.0;75.0;356.0;76.0;1137.0;356.0;45.0
46;0.0;57.0;343.0;46.0;1170.0;384.0;46.0
47;0.0;43.0;320.0;16.0;1203.0;418.0;47.0
48;0.0;29.0;298.0;0.0;1227.0;446.0;48.0
49;0.0;20.0;265.0;0.0;1236.0;479.0;49.0
50;0.0;18.0;231.0;0.0;1240.0;511.0;50.0
51;0.0;16.0;208.0;0.0;1241.0;535.0;51.0
52;0.0;10.0;185.0;0.0;1245.0;560.0;52.0
53;0.0;7.0;156.0;0.0;1246.0;591.0;53.0
54;0.0;6.0;129.0;0.0;1248.0;617.0;54.0
55;0.0;4.0;108.0;0.0;1250.0;638.0;55.0
56;0.0;1.0;87.0;0.0;1256.0;656.0;56.0
57;0.0;1.0;70.0;0.0;1258.0;671.0;57.0
58;0.0;0.0;52.0;0.0;1260.0;688.0;58.0
59;0.0;0.0;41.0;0.0;1261.0;698.0;59.0
60;0.0;0.0;26.0;0.0;1263.0;711.0;60.0
61;0.0;0.0;18.0;0.0;1263.0;719.0;61.0
62;0.0;0.0;16.0;0.0;1264.0;720.0;62.0
63;0.0;0.0;10.0;0.0;1266.0;724.0;63.0
64;0.0;0.0;8.0;0.0;1266.0;726.0;64.0
65;0.0;0.0;4.0;0.0;1267.0;729.0;65.0
66;0.0;0.0;3.0;0.0;1267.0;730.0;66.0
67;0.0;0.0;1.0;0.0;1267.0;732.0;67.0
68;0.0;0.0;0.0;0.0;1267.0;733.0;68.0
69;0.0;0.0;0.0;0.0;1267.0;733.0;69.0
70;0.0;0.0;0.0;0.0;1267.0;733.0;70.0
71;0.0;0.0;0.0;0.0;1267.0;733.0;71.0
72;0.0;0.0;0.0;0.0;1267.0;733.0;72.0
73;0.0;0.0;0.0;0.0;1267.0;733.0;73.0
74;0.0;0.0;0.0;0.0;1267.0;733.0;74.0
75;0.0;0.0;0.0;0.0;1267.0;733.0;75.0
76;0.0;0.0;0.0;0.0;1267.0;733.0;76.0
77;0.0;0.0;0.0;0.0;1267.0;733.0;77.0
78;0.0;0.0;0.0;0.0;1267.0;733.0;78.0
79;0.0;0.0;0.0;0.0;1267.0;733.0;79.0
80;0.0;0.0;0.0;0.0;1267.0;733.0;80.0
81;0.0;0.0;0.0;0.0;1267.0;733.0;81.0
82;0.0;0.0;0.0;0.0;1267.0;733.0;82.0
83;0.0;0.0;0.0;0.0;1267.0;733.0;83.0
84;0.0;0.0;0.0;0.0;1267.0;733.0;84.0
85;0.0;0.0;0.0;0.0;1267.0;733.0;85.0
86;0.0;0.0;0.0;0.0;1267.0;733.0;86.0
87;0.0;0.0;0.0;0.0;1267.0;733.0;87.0
88;0.0;0.0;0.0;0.0;1267.0;733.0;88.0
89;0.0;0.0;0.0;0.0;1267.0;733.0;89.0
90;0.0;0.0;0.0;0.0;1267.0;733.0;90.0
91;0.0;0.0;0.0;0.0;1267.0;733.0;91.0
92;0.0;0.0;0.0;0.0;1267.0;733.0;92.0
93;0.0;0.0;0.0;0.0;1267.0;733.0;93.0
94;0.0;0.0;0.0;0.0;1267.0;733.0;94.0
95;0.0;0.0;0.0;0.0;1267.0;733.0;95.0
96;0.0;0.0;0.0;0.0;1267.0;733.0;96.0
97;0.0;0.0;0.0;0.0;1267.0;733.0;97.0
98;0.0;0.0;0.0;0.0;1267.0;733.0;98.0
99;0.0;0.0;0.0;0.0;1267.0;733.0;99.0
100;0.0;0.0;0.0;0.0;1267.0;733.0;100.0
101;0.0;0.0;0.0;0.0;1267.0;733.0;101.0
102;0.0;0.0;0.0;0.0;1267.0;733.0;102.0
103;0.0;0.0;0.0;0.0;1267.0;733.0;103.0
104;0.0;0.0;0.0;0.0;1267.0;733.0;104.0
